ID,Name,Latitude,Longitude,ERHRegionID,WAPRegionID,ImprovementCostLevel,FuelRefer,FuelCityID,Oil1Price,Oil2Price,PropanePrice,BirchPrice,SprucePrice,CoalPrice,SteamPrice,HotWaterPrice,MunicipalSalesTax,BoroughSalesTax,TMYid,TMYname,ElecUtilities,GasPrice,aris_city,census_city,census_area,ancsa_region,railbelt,hub,avg_elec_usage
1,Anchorage,61.15196,-149.8641,2,2,1,0,,4.45,,6.48,300.0,300.0,175.0,,,,,702730,"ANCHORAGE INTL AP, AK","[('Chugach Electric South- Residential', 1), ('Chugach Electric North - Residential', 700), ('Chugach Electric South - Commercial - Sm', 361), ('Chugach Electric South - Commercial - Lg', 548), ('Chugach Electric North - Commercial - Lg', 698), ('Chugach Electric North - Commercial - Sm', 699)]",0.9881321312999998,Anchorage,Anchorage municipality,Anchorage municipality,Cook Inlet Regional (CIRI),Railbelt,True,"[674.3176110825, 616.54369648225, 568.8020181537499, 559.5290597065, 502.68865773625, 474.855271649, 467.94495386925, 483.58090842574995, 498.77690241749997, 532.835538427, 575.696935941, 610.274161992]"
2,Adak,51.848896,-176.635422,2,3,5,0,,7.3,6.64,,,,,,,0.04,,704540,"ADAK NAS, AK","[('Adak -TDX Residential', 677), ('Adak - TDX Commercial', 678)]",,Adak,Adak city,Aleutians West Census Area,Aleut,Affordable Energy Strategy Area,False,"[471.936998147, 423.45531781, 460.81549341, 424.294302801, 414.198261989, 408.021373057, 428.550250417, 419.713311688, 409.077785102, 425.893819855, 443.339960239, 463.328994468]"
3,Akutan,54.1349449,-165.772446,2,3,5,0,,4.93,,,,,,,,,,704890,"DUTCH HARBOR, AK","[('Akutan, City of - Residential', 9), ('Akutan, City of - Commercial - Sm', 288), ('Akutan, City of - Commercial - Lg', 475)]",,Akutan,Akutan city,Aleutians East Borough,Aleut,Affordable Energy Strategy Area,False,"[500.99156233, 439.984315846, 456.510655517, 421.946346724, 426.966352624, 380.763389289, 392.608543794, 400.059089699, 410.119914916, 434.168674699, 445.715396996, 472.65755627]"
4,Allakaket,66.56138609999999,-152.649445,4,4,5,0,,7.0,8.0,12.92,,,,,,,,701740,"BETTLES FIELD, AK","[('Allakaket - APT - Residential', 249), ('Allakaket - APT - Commercial - Sm', 291), ('Allakaket - APT- Commercial - Lg', 478)]",,Allakaket,Allakaket city,Yukon-Koyukuk Census Area,Doyon,Affordable Energy Strategy Area,False,"[338.509000744, 291.889556239, 276.804469551, 259.698748275, 241.22759162, 241.877880977, 237.014486434, 240.39129591, 250.339561607, 260.703968331, 289.122744033, 324.815682083]"
5,Angoon,57.4966469,-134.5789,1,1,3,0,,6.2,,6.23,,,,,,0.03,,703710,"SITKA JAPONSKI AP, AK","[('Inside Passage Electric Coop - Residential', 283), ('Inside Passage Electric Coop  - Commercial - Sm', 393), ('Inside Passage Electric Coop - Commercial - Lg', 580)]",,Angoon,Angoon city,Hoonah-Angoon Census Area,Sealaska Corporation,Affordable Energy Strategy Area,False,"[277.080558981, 257.757954545, 237.15561277, 239.508556701, 232.813955854, 253.427644913, 264.282544828, 268.637114648, 250.881906284, 238.540191629, 250.781436219, 260.080513183]"
6,Aniak,61.5779037,-159.546753,4,6,3,0,,8.68,,,,,,,,0.02,,702320,"ANIAK AIRPORT, AK","[('Aniak Light & Power - Residential', 17), ('Aniak Light & Power - Commercial - Sm', 295), ('Aniak Light & Power - Commercial - Lg', 482)]",,Aniak,Aniak city,Bethel Census Area,Calista,Affordable Energy Strategy Area,False,"[416.867554436, 363.900387399, 367.474233607, 340.637500374, 329.199580587, 303.281822536, 312.847173092, 327.950563334, 331.055017424, 357.597986677, 383.106929227, 407.825681832]"
8,Arctic Village,68.12287,-145.536972,6,5,5,0,,12.0,,16.95,,,,,,,,701940,"FORT YUKON, AK","[('Arctic Village Elec - Residential', 18), ('Arctic Village Elec - Commercial - Sm', 296), ('Arctic Village Elec - Commercial - Lg', 483)]",,Arctic Village,Arctic Village CDP,Yukon-Koyukuk Census Area,Doyon,Affordable Energy Strategy Area,False,"[338.509000744, 291.889556239, 276.804469551, 259.698748275, 241.22759162, 241.877880977, 237.014486434, 240.39129591, 250.339561607, 260.703968331, 289.122744033, 324.815682083]"
9,Atka,52.2155876,-174.20517,2,3,5,0,,7.5,,,,,,,,,,704540,"ADAK NAS, AK","[('Atka, City of Residential', 16), ('Atka, City of', 294), ('Atka, City of Large Commercial', 481)]",,Atka,Atka city,Aleutians West Census Area,Aleut,Affordable Energy Strategy Area,False,"[471.936998147, 423.45531781, 460.81549341, 424.294302801, 414.198261989, 408.021373057, 428.550250417, 419.713311688, 409.077785102, 425.893819855, 443.339960239, 463.328994468]"
11,Auke Bay,58.3830032,-134.661453,1,1,1,0,292.0,5.24,5.24,4.48,,,,,,,0.05,703810,"JUNEAU INT'L ARPT, AK","[('AEL&P - Residential', 11), ('AEL&P - Residential Demand', 659), ('AEL&P - Residential Heat Pump', 663), ('AEL&P - Sm Commercial', 289), ('AEL&P - Lg Commercial', 476), ('AEL&P -  Sm Commercial Demand', 660)]",,Auke Bay,Juneau city and borough,Juneau City and Borough,Sealaska Corporation,Affordable Energy Strategy Area,False,"[674.3176110825, 616.54369648225, 568.8020181537499, 559.5290597065, 502.68865773625, 474.855271649, 467.94495386925, 483.58090842574995, 498.77690241749997, 532.835538427, 575.696935941, 610.274161992]"
12,Barrow/Utqiavik,71.29736,-156.751846,6,5,4,0,,,,,,,,,,,,700260,"BARROW W POST-W ROGERS ARPT [NSA - ARM], AK","[('Barrow Utilities & Electric-elec - Residential', 20), ('Barrow Utilities - elec - Commercial - Lg', 347), ('Barrow Utilities & Electric-elec - Commercial - SM', 534)]",0.41,Barrow,Barrow city,North Slope Borough,Arctic Slope Regional Corporation,Affordable Energy Strategy Area,True,"[674.3176110825, 616.54369648225, 568.8020181537499, 559.5290597065, 502.68865773625, 474.855271649, 467.94495386925, 483.58090842574995, 498.77690241749997, 532.835538427, 575.696935941, 610.274161992]"
