BLOCK,FIPS,date,mean_2m_air_temperature,maximum_2m_air_temperature,minimum_2m_air_temperature,temperature_2m,temperature_2m_max,temperature_2m_min
1245,020700001001245,1.0,,,,269.2857447942098,271.7499237060547,266.46290435791013
1001,020700002001001,1.0,,,,269.1453639348348,271.6374008178711,266.55870513916017
1018,020700002001018,1.0,,,,269.5182887395223,272.00123901367186,266.97359161376954
1251,020700001001251,1.0,,,,269.2857447942098,271.7499237060547,266.46290435791013
1015,020700002001015,1.0,,,,269.5182887395223,272.00123901367186,266.97359161376954
1227,020700001001227,1.0,,,,269.1634384791056,271.59622344970705,266.4671142578125
1223,020700001001223,1.0,,,,269.1634384791056,271.59622344970705,266.4671142578125
1022,020700002001022,1.0,,,,269.3200587637038,271.8275912851762,266.6901587095923
1021,020700002001021,1.0,,,,269.3129664738973,271.8272247314453,266.6612319946289
1248,020700001001248,1.0,,,,269.2857447942098,271.7499237060547,266.46290435791013
1079,020700001001079,1.0,,,,268.5868902119719,271.15075385455714,265.6211968083205
1226,020700001001226,1.0,,,,269.1634384791056,271.59622344970705,266.4671142578125
1232,020700001001232,1.0,,,,270.3493108749389,272.5928619384766,268.10070648193357
1240,020700001001240,1.0,,,,268.90477962493895,271.36649627685546,266.2859115600586
1010,020700002001010,1.0,,,,269.5182887395223,272.00123901367186,266.97359161376954
1033,020700002001033,1.0,,,,269.4861419056911,271.9744767581716,266.94212217443135
1178,020700001001178,1.0,,,,270.3493108749389,272.5928619384766,268.10070648193357
1092,020700001001092,1.0,,,,269.3235947291056,271.78522338867185,266.54627990722656
1136,020700001001136,1.0,,,,268.5056748072306,270.893537902832,266.0695205688477
1211,020700001001211,1.0,,,,268.88853613535565,271.4239501953125,266.43712463378904
1011,020700002001011,1.0,,,,269.2800169795595,271.78994495438184,266.6412057966582
1024,020700002001024,1.0,,,,269.5182887395223,272.00123901367186,266.97359161376954
1131,020700001001131,1.0,,,,268.4040126134742,270.9276835788289,265.84918897558447
1038,020700002001038,1.0,,,,269.1453639348348,271.6374008178711,266.55870513916017
