BLOCK,FIPS,date,mean_2m_air_temperature,maximum_2m_air_temperature,minimum_2m_air_temperature,temperature_2m,temperature_2m_max,temperature_2m_min
3050,021100005003050,1.0,,,,,,
2048,020900006002048,1.0,,,,,,
1070,020909800001070,1.0,,,,,,
2045,020900006002045,1.0,,,,,,
5002,020200008015002,1.0,,,,,,
1221,020160001001221,1.0,,,,,,
2000,021950002002000,1.0,,,,,,
3032,021880001003032,1.0,,,,,,
2025,022900001002025,1.0,,,,,,
2011,021220006002011,1.0,,,,,,
2012,021300004002012,1.0,,,,,,
1019,020900005001019,1.0,,,,,,
1061,021220009001061,1.0,,,,,,
1023,020200027131023,1.0,,,,,,
4012,020200017014012,1.0,,,,,,
3012,020900014023012,1.0,,,,,,
2067,021800002002067,1.0,,,,,,
1180,022900003001180,1.0,,,,,,
4013,022200002004013,1.0,,,,,,
2035,021950002002035,1.0,,,,,,
3027,020900004003027,1.0,,,,,,
3012,020900004003012,1.0,,,,,,
1024,020900006001024,1.0,,,,,,
1543,021800001001543,1.0,,,,,,
1106,020909800001106,1.0,,,,,,
2041,021700005012041,1.0,,,,,,
5010,022200002005010,1.0,,,,,,
2004,021300003002004,1.0,,,,,,
4024,020900004004024,1.0,,,,,,
2012,021500003002012,1.0,,,,,,
1026,020900006001026,1.0,,,,,,
1017,021100003001017,1.0,,,,,,
2020,020900006002020,1.0,,,,,,
1012,020200009011012,1.0,,,,,,
4023,021800002004023,1.0,,,,,,
1015,021300002001015,1.0,,,,,,
1014,020900004001014,1.0,,,,,,
2002,021500003002002,1.0,,,,,,
2010,021950002002010,1.0,,,,,,
1036,021220010001036,1.0,,,,,,
1012,021220002001012,1.0,,,,,,
1003,020200023051003,1.0,,,,,,
3011,022200001003011,1.0,,,,,,
4018,021800002004018,1.0,,,,,,
1030,020900002001030,1.0,,,,,,
1022,021300002001022,1.0,,,,,,
4012,020200002054012,1.0,,,,,,
2011,020200002022011,1.0,,,,,,
5005,020200012005005,1.0,,,,,,
4018,020900004004018,1.0,,,,,,
1022,020200011001022,1.0,,,,,,
1179,022900003001179,1.0,,,,,,
2038,020900006002038,1.0,,,,,,
1118,020909800001118,1.0,,,,,,
1018,021500005001018,1.0,,,,,,
2047,020900006002047,1.0,,,,,,
3004,020200009013004,1.0,,,,,,
3001,020200009013001,1.0,,,,,,
2014,021500002002014,1.0,,,,,,
3026,020900004003026,1.0,,,,,,
1018,021700010031018,1.0,,,,,,
1016,020200020001016,1.0,,,,,,
1012,021300002001012,1.0,,,,,,
1028,021300002001028,1.0,,,,,,
1373,021800001001373,1.0,,,,,,
2003,021950002002003,1.0,,,,,,
2070,021220013002070,1.0,,,,,,
2077,022900001002077,1.0,,,,,,
1027,020900006001027,1.0,,,,,,
4005,021800002004005,1.0,,,,,,
1249,020700001001249,1.0,,,,,,
1013,020900002001013,1.0,,,,,,
1312,020630002001312,1.0,,,,,,
1019,020200013001019,1.0,,,,,,
1397,021800001001397,1.0,,,,,,
2088,021220013002088,1.0,,,,,,
2005,021100002002005,1.0,,,,,,
4004,021100002004004,1.0,,,,,,
1022,020900005001022,1.0,,,,,,
3010,020200012003010,1.0,,,,,,
