,NAME,hp_current,hp_current_prop_b,hp_2p,hp_2p_prop_b,hp_15p,hp_15p_prop_b
0,Aleutians East Borough,0,0.0,44,0.06480117820324006,339.5,0.5
1,Aleutians West Census Area,0,0.0,145,0.10894064613072878,665.5,0.5
2,Anchorage Municipality,134,0.0011294672960215778,260,0.002191503708698584,4213.0,0.03551078894133513
3,Bethel Census Area,0,0.0,38,0.006350267379679145,1252.0,0.2092245989304813
4,Bristol Bay Borough,0,0.0,20,0.023337222870478413,428.5,0.5
5,Denali Borough,2,0.0012453300124533001,28,0.017434620174346202,803.0,0.5
6,Dillingham Census Area,0,0.0,78,0.032432432432432434,1202.5,0.5
7,Fairbanks North Star Borough,124,0.00290677231064957,148,0.0034693734030333575,908.0,0.021285074661853302
8,Haines Borough,0,0.0,100,0.072992700729927,685.0,0.5
9,Hoonah-Angoon Census Area,0,0.0,174,0.09791783905458638,888.5,0.5
10,Juneau City and Borough,2000,0.1419144256013624,2290,0.16249201731355992,7046.5,0.5
11,Kenai Peninsula Borough,66,0.0020231745447857274,276,0.008460548096376677,6594.0,0.20213352951995586
12,Ketchikan Gateway Borough,0,0.0,417,0.06304807983066223,3307.0,0.5
13,Kodiak Island Borough,0,0.0,591,0.10145922746781116,2912.5,0.5
14,Kusilvak Census Area,0,0.0,27,0.01152860802732707,891.0,0.38044406490179333
15,Lake and Peninsula Borough,0,0.0,73,0.049693669162695714,734.5,0.5
16,Matanuska-Susitna Borough,66,0.0012921667286645653,263,0.005149088630890616,6173.0,0.12085674569767214
17,Nome Census Area,0,0.0,24,0.005860805860805861,795.0,0.19413919413919414
18,North Slope Borough,0,0.0,2,0.0007636502481863307,64.0,0.024436807941962582
19,Northwest Arctic Borough,76,0.027972027972027972,80,0.02944423997055576,232.0,0.08538829591461171
20,Petersburg Borough,0,0.0,190,0.11059371362048893,859.0,0.5
21,Prince of Wales-Hyder Census Area,0,0.0,483,0.14967462039045554,1613.5,0.5
22,Sitka City and Borough,0,0.0,523,0.12635902391882098,2069.5,0.5
23,Skagway Municipality,0,0.0,38,0.05,380.0,0.5
24,Southeast Fairbanks Census Area,8,0.002277255906632508,17,0.004839168801594079,322.0,0.09165955024195845
25,Valdez-Cordova Census Area,0,0.0,82,0.012946005683612252,2674.0,0.4221660877802337
26,Wrangell City and Borough,0,0.0,103,0.08091123330714847,636.5,0.5
27,Yakutat City and Borough,0,0.0,10,0.022675736961451247,220.5,0.5
28,Yukon-Koyukuk Census Area,0,0.0,0,0.0,20.0,0.004982561036372696
