,census_area,Rebate_dol,Fuel_Esc_Rate,Temp_Projection,NPV_weighted2,CO2_lbs_saved_weighted2,CO2_driving_miles_saved_weighted2,Heating_Days_Above5_weighted2,Heating_Days_Below5_weighted2,Heating_Days_Covered
0,Aleutians East Borough,0,0.03,0.0,292.0989798676306,2202.7778959675015,2469.844669976759,363.461121891402,0.0,1.0
1,Aleutians East Borough,0,0.03,1.5,335.9379447230718,2136.6994892967286,2395.7548578285923,363.4005703447672,0.0,1.0
2,Aleutians East Borough,0,0.03,3.0,299.5461445437431,2051.2763517518483,2299.974942230135,363.4005703447672,0.0,1.0
3,Aleutians East Borough,0,0.06,0.0,1485.3301729387713,2202.7778959675015,2469.844669976759,363.461121891402,0.0,1.0
4,Aleutians East Borough,0,0.06,1.5,1538.0433489827622,2136.6994892967286,2395.7548578285923,363.4005703447672,0.0,1.0
5,Aleutians East Borough,0,0.06,3.0,1494.284848394612,2051.2763517518483,2299.974942230135,363.4005703447672,0.0,1.0
6,Aleutians East Borough,0,0.09,0.0,2985.6914153170264,2202.7778959675015,2469.844669976759,363.461121891402,0.0,1.0
7,Aleutians East Borough,0,0.09,1.5,3049.562967542676,2136.6994892967286,2395.7548578285923,363.4005703447672,0.0,1.0
8,Aleutians East Borough,0,0.09,3.0,2996.541625150032,2051.2763517518483,2299.974942230135,363.4005703447672,0.0,1.0
9,Aleutians East Borough,2000,0.03,0.0,2283.666771053395,2202.7778959675015,2469.844669976759,363.461121891402,0.0,1.0
10,Aleutians East Borough,2000,0.03,1.5,2327.505735908837,2136.6994892967286,2395.7548578285923,363.4005703447672,0.0,1.0
11,Aleutians East Borough,2000,0.03,3.0,2291.1139357295074,2051.2763517518483,2299.974942230135,363.4005703447672,0.0,1.0
12,Aleutians East Borough,2000,0.06,0.0,3476.8979641245364,2202.7778959675015,2469.844669976759,363.461121891402,0.0,1.0
13,Aleutians East Borough,2000,0.06,1.5,3529.6111401685257,2136.6994892967286,2395.7548578285923,363.4005703447672,0.0,1.0
14,Aleutians East Borough,2000,0.06,3.0,3485.8526395803765,2051.2763517518483,2299.974942230135,363.4005703447672,0.0,1.0
15,Aleutians East Borough,2000,0.09,0.0,4977.25920650279,2202.7778959675015,2469.844669976759,363.461121891402,0.0,1.0
16,Aleutians East Borough,2000,0.09,1.5,5041.130758728442,2136.6994892967286,2395.7548578285923,363.4005703447672,0.0,1.0
17,Aleutians East Borough,2000,0.09,3.0,4988.109416335797,2051.2763517518483,2299.974942230135,363.4005703447672,0.0,1.0
18,Aleutians East Borough,4000,0.03,0.0,4275.234562239159,2202.7778959675015,2469.844669976759,363.461121891402,0.0,1.0
19,Aleutians East Borough,4000,0.03,1.5,4319.0735270946,2136.6994892967286,2395.7548578285923,363.4005703447672,0.0,1.0
20,Aleutians East Borough,4000,0.03,3.0,4282.681726915272,2051.2763517518483,2299.974942230135,363.4005703447672,0.0,1.0
21,Aleutians East Borough,4000,0.06,0.0,5468.4657553103,2202.7778959675015,2469.844669976759,363.461121891402,0.0,1.0
22,Aleutians East Borough,4000,0.06,1.5,5521.178931354291,2136.6994892967286,2395.7548578285923,363.4005703447672,0.0,1.0
23,Aleutians East Borough,4000,0.06,3.0,5477.420430766141,2051.2763517518483,2299.974942230135,363.4005703447672,0.0,1.0
24,Aleutians East Borough,4000,0.09,0.0,6968.826997688553,2202.7778959675015,2469.844669976759,363.461121891402,0.0,1.0
25,Aleutians East Borough,4000,0.09,1.5,7032.698549914206,2136.6994892967286,2395.7548578285923,363.4005703447672,0.0,1.0
26,Aleutians East Borough,4000,0.09,3.0,6979.677207521561,2051.2763517518483,2299.974942230135,363.4005703447672,0.0,1.0
27,Aleutians West Census Area,0,0.03,0.0,-7626.587914223542,2273.6996878723453,2549.365083742506,355.51297091601225,0.0,1.0
28,Aleutians West Census Area,0,0.03,1.5,-6848.036506531817,2186.691141352592,2451.8075427586245,354.9442063119418,0.0,1.0
29,Aleutians West Census Area,0,0.03,3.0,-6150.629338532263,2084.5162408401034,2337.2448653783276,354.9442063119418,0.0,1.0
30,Aleutians West Census Area,0,0.06,0.0,-8062.876365349678,2273.6996878723453,2549.365083742506,355.51297091601225,0.0,1.0
