,City,TMYid,Longitude,Latitude,Oil1Price,PropanePrice,GasPrice,avg_elec_usage1,avg_elec_usage2,avg_elec_usage3,avg_elec_usage4,avg_elec_usage5,avg_elec_usage6,avg_elec_usage7,avg_elec_usage8,avg_elec_usage9,avg_elec_usage10,avg_elec_usage11,avg_elec_usage12,avgTemp_1,avgTemp_2,avgTemp_3,avgTemp_4,avgTemp_5,avgTemp_6,avgTemp_7,avgTemp_8,avgTemp_9,avgTemp_10,avgTemp_11,avgTemp_12,freezing_days,Railbelt
0,Anchorage,702730,-149.8641,61.15196,4.45,6.48,0.9881321312999998,674.3176110825,616.54369648225,568.8020181537499,559.5290597065,502.68865773625,474.855271649,467.94495386925,483.58090842574995,498.77690241749997,532.835538427,575.696935941,610.274161992,17.623709677419352,17.90160714285714,25.822661290322582,37.8675,49.23596774193548,56.612,58.77209677419355,56.69145161290323,51.30225,34.020161290322584,22.06225,18.776532258064517,0.40273972602739727,1
1,Adak,704540,-176.635422,51.848896,7.3,0.0,0.0,471.936998147,423.45531781,460.81549341,424.294302801,414.198261989,408.021373057,428.550250417,419.713311688,409.077785102,425.893819855,443.339960239,463.328994468,32.28717741935484,33.65,35.37040322580645,36.26575,38.46741935483871,43.26575,47.8083064516129,49.528467741935486,48.534749999999995,42.440241935483876,36.8865,33.25782258064516,0.12876712328767123,0
2,Akutan,704890,-165.772446,54.1349449,4.93,0.0,0.0,500.99156233,439.984315846,456.510655517,421.946346724,426.966352624,380.763389289,392.608543794,400.059089699,410.119914916,434.168674699,445.715396996,472.65755627,33.692338709677415,33.858125,31.43266129032258,36.62175,40.538629032258065,45.1625,49.645806451612906,52.046774193548394,47.4825,40.59161290322581,39.23075,34.619919354838714,0.15342465753424658,0
3,Allakaket,701740,-152.649445,66.56138609999999,7.0,12.92,0.0,338.509000744,291.889556239,276.804469551,259.698748275,241.22759162,241.877880977,237.014486434,240.39129591,250.339561607,260.703968331,289.122744033,324.815682083,-5.494435483870969,-5.549017857142858,4.4820161290322575,26.9,46.350645161290316,56.7055,61.00661290322581,53.4083870967742,38.3925,19.701209677419357,3.4024999999999994,-8.056532258064518,0.5452054794520548,0
4,Angoon,703710,-134.5789,57.4966469,6.2,6.23,0.0,277.080558981,257.757954545,237.15561277,239.508556701,232.813955854,253.427644913,264.282544828,268.637114648,250.881906284,238.540191629,250.781436219,260.080513183,33.869677419354836,29.710625,36.799758064516126,39.404,46.4491129032258,52.21725,54.31225806451613,55.61483870967742,53.065000000000005,45.399838709677425,37.713,31.99032258064516,0.13972602739726028,0
5,Aniak,702320,-159.546753,61.5779037,8.68,0.0,0.0,416.867554436,363.900387399,367.474233607,340.637500374,329.199580587,303.281822536,312.847173092,327.950563334,331.055017424,357.597986677,383.106929227,407.825681832,11.995564516129031,27.876339285714288,22.85483870967742,29.404,41.14346774193549,52.66525000000001,55.07145161290323,52.63129032258065,37.78775,30.057983870967742,27.247,15.058709677419355,0.44931506849315067,0
6,Arctic Village,701940,-145.536972,68.12287,12.0,16.95,0.0,338.509000744,291.889556239,276.804469551,259.698748275,241.22759162,241.877880977,237.014486434,240.39129591,250.339561607,260.703968331,289.122744033,324.815682083,-6.172822580645162,-13.049553571428573,7.122983870967742,24.375,48.52927419354839,59.15375000000001,57.18306451612903,51.45258064516129,37.98225,19.72782258064516,12.6685,-14.023387096774195,0.5452054794520548,0
7,Atka,704540,-174.20517,52.2155876,7.5,0.0,0.0,471.936998147,423.45531781,460.81549341,424.294302801,414.198261989,408.021373057,428.550250417,419.713311688,409.077785102,425.893819855,443.339960239,463.328994468,32.28717741935484,33.65,35.37040322580645,36.26575,38.46741935483871,43.26575,47.8083064516129,49.528467741935486,48.534749999999995,42.440241935483876,36.8865,33.25782258064516,0.12876712328767123,0
8,Auke Bay,703810,-134.661453,58.3830032,5.24,4.48,0.0,674.3176110825,616.54369648225,568.8020181537499,559.5290597065,502.68865773625,474.855271649,467.94495386925,483.58090842574995,498.77690241749997,532.835538427,575.696935941,610.274161992,24.72741935483871,29.11330357142857,31.524838709677418,43.3685,51.78185483870968,54.98425,56.612822580645165,55.057419354838714,50.55325,42.91467741935484,32.7555,28.213467741935485,0.2273972602739726,0
9,Barrow/Utqiavik,700260,-156.751846,71.29736,0.0,0.0,0.41,674.3176110825,616.54369648225,568.8020181537499,559.5290597065,502.68865773625,474.855271649,467.94495386925,483.58090842574995,498.77690241749997,532.835538427,575.696935941,610.274161992,-10.765967741935485,-14.770267857142859,-10.87435483870968,-0.9985000000000009,20.421209677419355,33.2895,38.491370967741936,39.575241935483874,31.75075,14.321774193548386,-4.772250000000001,-8.85225806451613,0.7397260273972602,0
